Index,Model,Region,Scenario,Sigma,Value,Year
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,3441.32592773,1973.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,2680.72436523,1974.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,1287.38842773,1975.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,495.333740234,1988.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,812.755615234,1991.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,2715.13061523,1993.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,3161.89624023,2000.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,581.763427734,2004.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,4282.17749023,2012.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,3655.66967773,2013.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,6134.92749023,2019.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,613.302490234,2020.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,2486.74780273,2023.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,819.005615234,2024.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,5936.76342773,2028.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,3895.91967773,2030.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,1779.45092773,2032.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,3457.45874023,2037.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,7027.23217773,2040.0
GD4,"CNRM-CERFACS-CNRM-CM5_RCA4",Normandie,4.5,1.0,6989.05249023,2047.0
